baseline,fold,seed,visible_seed,window_t,delta_hidden_minus_free_sample_wrong_branch_rate,delta_hidden_minus_free_future_chamfer_to_true,delta_hidden_minus_free_action_mse
state_action,0,0,100006,1,-0.96875,-0.0031789541244506836,-0.00025758659467101097
state_action,0,0,100006,2,-1.0,-0.0033996477723121643,-0.00020010210573673248
state_action,0,0,100006,3,-0.96875,-0.0033324360847473145,0.006504527060315013
state_action,0,0,100007,0,1.0,0.00646403431892395,-9.882496669888496e-06
state_action,0,0,100007,1,-0.625,-0.0025313347578048706,-0.007129521109163761
state_action,0,0,100007,2,0.75,0.0017249658703804016,0.006273502483963966
state_action,0,0,100007,3,1.0,0.005081266164779663,-0.0005996336694806814
state_action,0,0,100007,4,1.0,0.004895567893981934,-0.0002150312066078186
state_action,0,0,100007,5,1.0,0.004889748990535736,0.005859218304976821
state_action,0,0,100007,6,1.0,0.004852220416069031,0.0010133413597941399
state_action,0,0,100007,7,1.0,0.004952147603034973,-0.00027693435549736023
state_action,0,0,100008,0,-0.6875,-0.0014036782085895538,2.5890767574310303e-07
state_action,0,0,100008,1,-0.75,-0.0010227710008621216,-7.915636524558067e-05
state_action,0,0,100009,0,-0.8125,-0.0011174827814102173,-5.795154720544815e-07
state_action,0,0,100010,0,-0.78125,-0.0020740777254104614,8.707866072654724e-08
state_action,0,0,100011,0,-0.84375,-0.0011661499738693237,1.578591763973236e-07
state_action,0,0,100012,0,-0.3125,-0.0009271502494812012,-1.1129304766654968e-07
state_action,0,0,100013,0,-0.9375,-0.0018602684140205383,-1.6158446669578552e-07
state_action,0,0,100014,0,0.0,-0.00012119114398956299,-1.0256189852952957e-07
state_action,0,0,100015,0,-0.78125,-0.0011109411716461182,-5.561858415603638e-06
state_action,0,0,100016,0,0.125,0.0009008795022964478,-3.3527612686157227e-07
state_action,0,0,100017,0,0.46875,0.0014573335647583008,-7.808208465576172e-06
state_action,0,0,100018,0,-0.40625,-0.0008835494518280029,5.855690687894821e-08
state_action,0,0,100019,0,1.0,0.0044101327657699585,-8.42846930027008e-08
state_action,0,0,100020,0,-0.90625,-0.0022961944341659546,-2.0687002688646317e-07
state_action,0,0,100021,0,-0.9375,-0.005760669708251953,1.7685815691947937e-06
state_action,0,0,100022,0,0.65625,0.0032461732625961304,-1.6507692635059357e-07
state_action,0,0,100023,0,-1.0,-0.005241908133029938,-7.753260433673859e-07
state_action,0,0,100023,1,-0.84375,-0.003965489566326141,0.0006671485316473991
state_action,0,0,100023,2,-0.75,-0.0035800039768218994,0.0005695079453289509
state_action,0,0,100024,0,-1.0,-0.002961575984954834,2.6170164346694946e-07
state_action,0,0,100025,0,-0.40625,-0.0007983073592185974,-2.4319160729646683e-07
state_action,0,0,100026,0,-0.90625,-0.005175396800041199,1.1781230568885803e-07
state_action,0,0,100027,0,-0.46875,-0.0009121522307395935,-1.5599653124809265e-08
state_action,0,0,100028,0,-0.84375,-0.0022322386503219604,-1.7299316823482513e-07
state_action,0,0,100029,0,-0.78125,-0.0017204880714416504,-8.021015673875809e-08
state_action,0,1,100000,0,0.71875,0.0017944127321243286,3.207242116332054e-07
state_action,0,1,100001,0,0.5,0.0007987096905708313,-4.651956260204315e-07
state_action,0,1,100002,0,-1.0,-0.00510251522064209,-1.0460615158081055e-05
state_action,0,1,100003,0,0.1875,0.0005487129092216492,4.912726581096649e-08
state_action,0,1,100004,0,-0.5625,-0.0033719614148139954,5.660869646817446e-06
state_action,0,1,100005,0,-0.34375,-0.0013023242354393005,1.8095015548169613e-06
