edge_index,horizon,label,over_rate,repair_config,training_seed,under_rate,violation_rate
10,2,candidate,0.9901960784313726,epsilon_cosine_cap_0p5,31433,0.003676470588235294,0.9938725490196079
11,2,candidate,0.9877450980392157,epsilon_cosine_cap_0p5,31433,0.004901960784313725,0.9926470588235294
12,2,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31433,0.0012254901960784314,0.9963235294117647
13,2,candidate,0.9963235294117647,epsilon_cosine_cap_0p5,31433,0.0012254901960784314,0.9975490196078431
14,2,candidate,0.9926470588235294,epsilon_cosine_cap_0p5,31433,0.0024509803921568627,0.9950980392156863
15,2,candidate,0.9975490196078431,epsilon_cosine_cap_0p5,31433,0.0,0.9975490196078431
16,2,candidate,0.9975490196078431,epsilon_cosine_cap_0p5,31433,0.0,0.9975490196078431
17,2,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31433,0.0024509803921568627,0.9975490196078431
18,2,candidate,0.9987745098039216,epsilon_cosine_cap_0p5,31433,0.0,0.9987745098039216
19,2,candidate,0.9938725490196079,epsilon_cosine_cap_0p5,31433,0.0,0.9938725490196079
20,2,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31433,0.0,0.9950980392156863
21,2,candidate,0.9926470588235294,epsilon_cosine_cap_0p5,31433,0.0012254901960784314,0.9938725490196079
22,2,candidate,0.9975490196078431,epsilon_cosine_cap_0p5,31433,0.0,0.9975490196078431
0,3,candidate,0.9975490196078431,epsilon_cosine_cap_0p5,31433,0.0024509803921568627,1.0
1,3,candidate,0.9987745098039216,epsilon_cosine_cap_0p5,31433,0.0,0.9987745098039216
2,3,candidate,0.9938725490196079,epsilon_cosine_cap_0p5,31433,0.0012254901960784314,0.9950980392156863
3,3,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31433,0.0,0.9950980392156863
4,3,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31433,0.0024509803921568627,0.9975490196078431
5,3,candidate,0.9938725490196079,epsilon_cosine_cap_0p5,31433,0.0012254901960784314,0.9950980392156863
6,3,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31433,0.0,0.9950980392156863
7,3,candidate,0.9963235294117647,epsilon_cosine_cap_0p5,31433,0.0012254901960784314,0.9975490196078431
8,3,candidate,0.9926470588235294,epsilon_cosine_cap_0p5,31433,0.0012254901960784314,0.9938725490196079
9,3,candidate,0.9987745098039216,epsilon_cosine_cap_0p5,31433,0.0012254901960784314,1.0
10,3,candidate,0.9975490196078431,epsilon_cosine_cap_0p5,31433,0.0012254901960784314,0.9987745098039216
11,3,candidate,1.0,epsilon_cosine_cap_0p5,31433,0.0,1.0
12,3,candidate,0.9926470588235294,epsilon_cosine_cap_0p5,31433,0.006127450980392157,0.9987745098039216
