bead_xy_mse,final_xy_chamfer,final_xy_chamfer_ci_high,final_xy_chamfer_ci_low,full_state_mse,input_variant,model,robot_proxy_mse,rows,split,subset,training_seed,trajectory_xy_chamfer,trajectory_xy_chamfer_ci_high,trajectory_xy_chamfer_ci_low,visible_seeds
0.11627993732690811,0.20993274907314477,0.2342980654827567,0.18670621980807134,0.09542357921600342,paper_state,xy_constant_velocity_robot_hold,0.0697542056441307,604,test,hidden_v2,none,0.14881214843958923,0.16591337975685586,0.13256120146398648,128
0.12085901200771332,0.22422552753983077,0.2475099002319864,0.20233501859768138,0.0792715921998024,paper_state,xy_constant_velocity_robot_hold,0.028087066486477852,604,test,pre_engagement_free,none,0.16047148537755507,0.17763238968540007,0.14476466544327227,128
0.05768626928329468,0.2404349747785302,0.26596859739600826,0.21546919662434832,0.046733297407627106,paper_state,xy_constant_velocity_robot_hold,0.03325271978974342,129,test,pre_engagement_hidden_v2,none,0.22590196623108338,0.2507943250933171,0.2029528373780443,128
0.6190640926361084,0.09278373046790396,0.1508181189305383,0.060537151781076486,12.060175895690918,paper_state,ridge,26.141536712646484,608,val,all,none,0.10779462111110517,0.20635013893721235,0.0563001307351226,64
0.9692472815513611,0.1197896370380793,0.21247581733895554,0.06987027426823197,18.908496856689453,paper_state,ridge,40.98756790161133,368,val,pre_engagement,none,0.14729137702016634,0.3099308352439299,0.06496483007811066,64
1.229910969734192,0.11641080175698,0.22702768185581831,0.05871659934081169,24.086668014526367,paper_state,ridge,52.218055725097656,304,val,free,none,0.1515020505543553,0.34934347245414293,0.05415638334846199,64
0.008217222057282925,0.06915665917882793,0.07983312773793318,0.05988387245804293,0.03368164598941803,paper_state,ridge,0.06502248346805573,304,val,hidden_v2,none,0.06408719166785504,0.07246933768158341,0.056614472820499785,64
1.229910969734192,0.11641080175698,0.22632846021743924,0.058633802782408574,24.086668014526367,paper_state,ridge,52.218055725097656,304,val,pre_engagement_free,none,0.1515020505543553,0.34912011931812914,0.05429258424133867,64
0.01872379146516323,0.13583910462330095,0.16248547496434185,0.11392505239418824,0.026031261309981346,paper_state,ridge,0.03502507135272026,64,val,pre_engagement_hidden_v2,none,0.12729067773276861,0.14616770510244048,0.11059833233205911,64
0.22028589248657227,0.07277043376986049,0.09654267073234564,0.05895336473567922,4.765289306640625,paper_state,ridge,10.359138488769531,1208,test,all,none,0.07634696093476948,0.11710320234012017,0.05510090502055003,128
0.34229761362075806,0.09037902348358463,0.12872796576263942,0.0685123107607564,7.427911758422852,paper_state,ridge,16.14866828918457,733,test,pre_engagement,none,0.09859790501507484,0.16577572447969297,0.06400154781638626,128
0.43274185061454773,0.08172824647468792,0.1279838716844414,0.05706844287144211,9.499096870422363,paper_state,ridge,20.657686233520508,604,test,free,none,0.09330794331116528,0.17392911398308752,0.05266949594078769,128
0.007829951122403145,0.06381262106503305,0.0691771133426478,0.058944721370614295,0.03148263320326805,paper_state,ridge,0.060593631118535995,604,test,hidden_v2,none,0.05938597855837368,0.06332436398171305,0.055756225011917175,128
0.43274185061454773,0.08172824647468792,0.1273384768231671,0.05715106343994301,9.499096870422363,paper_state,ridge,20.657686233520508,604,test,pre_engagement_free,none,0.09330794331116528,0.1744514812557462,0.052795353070133874,128
0.018978828564286232,0.13088343676555064,0.14810282573421565,0.1158294277191047,0.023871952667832375,paper_state,ridge,0.029894262552261353,129,test,pre_engagement_hidden_v2,none,0.12336640787679096,0.13533992298625724,0.11258393306268756,128
0.3686865270137787,0.08387120109661114,0.13264221459901407,0.05731762632716157,11.186249732971191,state_action,ridge,24.500185012817383,608,val,all,none,0.08902810649286902,0.1563803714293506,0.05319813063150276,64
0.5767412185668945,0.10798491931991125,0.18551572080529047,0.06660337273855535,17.536941528320312,state_action,ridge,38.411041259765625,368,val,pre_engagement,none,0.11891138786987816,0.22909261447571308,0.06228139770889052,64
0.7301120758056641,0.10332797396787148,0.19537807545306762,0.05557383689408636,22.339317321777344,state_action,ridge,48.93526840209961,304,val,free,none,0.11769982171181097,0.2520404452641585,0.05115807766697887,64
0.007261017803102732,0.06441442822535082,0.07259553023240456,0.057064091907156556,0.033187780529260635,state_action,ridge,0.0650976374745369,304,val,hidden_v2,none,0.060356391273927064,0.06763151718592153,0.05385804228421406,64
0.7301120758056641,0.10332797396787148,0.19484479710695965,0.055392173160851176,22.339317321777344,state_action,ridge,48.93526840209961,304,val,pre_engagement_free,none,0.11769982171181097,0.2515446377537772,0.05124894306808838,64
0.017466643825173378,0.13010540974210016,0.1509161510533886,0.11101215130547644,0.024838276207447052,state_action,ridge,0.03391105309128761,64,val,pre_engagement_hidden_v2,none,0.12466632712069745,0.14064178509324846,0.10954996749915152,64
0.138698548078537,0.06874706844039051,0.08966068713696763,0.056437852739598345,4.466342449188232,state_action,ridge,9.792672157287598,1208,test,all,none,0.0677923493588867,0.09624697846600189,0.0526337494265766,128
0.21503151953220367,0.08587794707285044,0.1196079297742802,0.06655691017470329,6.960897445678711,state_action,ridge,15.263497352600098,733,test,pre_engagement,none,0.08673505747667293,0.1335554101397264,0.06223190534283746,128
0.2701725959777832,0.07668308672627792,0.11796829022808526,0.05462450608402191,8.901684761047363,state_action,ridge,19.52507972717285,604,test,free,none,0.07922075395956768,0.1352063480311219,0.050599970454151696,128
0.007224509958177805,0.06081105015450312,0.06561583090902627,0.05632295240273487,0.03100053034722805,state_action,ridge,0.06026332825422287,604,test,hidden_v2,none,0.05636394475820572,0.05981304533182444,0.0531163761917816,128
0.2701725959777832,0.07668308672627792,0.11719532741038965,0.05470890964169154,8.901684761047363,state_action,ridge,19.52507972717285,604,test,pre_engagement_free,none,0.07922075395956768,0.13563529848145345,0.05065062075539936,128
0.017914006486535072,0.12892985133122103,0.14293074223751318,0.11594437657415059,0.022997908294200897,state_action,ridge,0.029255013912916183,129,test,pre_engagement_hidden_v2,none,0.12191830805288652,0.1318085226770406,0.11256813888139591,128
0.009317957796156406,0.04811268361548795,0.05573175402375702,0.041617317055844996,0.03582189232110977,paper_state,deterministic_mlp,0.06844212859869003,608,val,all,31401,0.0466581773274045,0.05375065172573749,0.04066334640788639,64
0.013389171101152897,0.06181071671712941,0.07295958433567858,0.05263792381153295,0.037057630717754364,paper_state,deterministic_mlp,0.06618805229663849,368,val,pre_engagement,31401,0.060152466967259025,0.07029870438901918,0.051883369018578665,64
0.012144503183662891,0.04860118031348592,0.060667150169616574,0.04013673882324053,0.04028494283556938,paper_state,deterministic_mlp,0.07491933554410934,304,val,free,31401,0.04721955396222224,0.058566863055844263,0.039245144829117944,64
