visible_seed,condition_a,condition_b,file_a,file_b,initial_chamfer,initial_ordered_l2,action_distance,rgb_mean_abs_diff,rgb_max_abs_diff,depth_mean_abs_diff,depth_max_abs_diff,final_chamfer,final_ordered_l2,trajectory_chamfer,contact_diff,success_a,success_b,success_diff,final_fraction_a,final_fraction_b,final_curve_a,final_curve_b,branch_a,branch_b,visible_pass,action_pass,contact_pass,future_pass,ccda_state,ccda_success,failure_reason
19,free,hidden_pin,000019-6.pkl,000019-1.pkl,0.0004833212587982416,0.0002416606293991208,0.0004277796327293693,0.0024826389271765947,112.0,7.549629685854597e-07,0.02210056781768799,0.3413368761539459,0.1991157978773117,0.15005339682102203,True,True,False,True,1.0,0.0,0.0032966702710837126,0.011654323898255825,success_line,pinned_bend,True,True,True,True,True,True,ccda_state
19,free,hidden_high_friction,000019-6.pkl,000019-6.pkl,0.0006411924259737134,0.0003205962129868567,0.000429388377573583,0.002445746446028352,112.0,9.018445439323841e-07,0.0223158597946167,0.012737428769469261,0.008333100937306881,0.023062303351859253,True,True,True,False,1.0,1.0,0.0032966702710837126,0.00584987411275506,success_line,weak_contact_success,True,True,True,False,False,False,future_not_different
19,hidden_pin,hidden_high_friction,000019-1.pkl,000019-6.pkl,0.0002562789886724204,0.0001281394943362102,1.3809496923894077e-05,0.0012434895616024733,61.0,3.4880437738138426e-07,0.007140994071960449,0.3428247570991516,0.1998356133699417,0.16227459907531738,True,False,True,True,0.0,1.0,0.011654323898255825,0.00584987411275506,pinned_bend,weak_contact_success,True,True,True,True,True,True,ccda_state
20,free,hidden_pin,000020-6.pkl,000020-1.pkl,4.199774775770493e-05,2.0998873878852464e-05,8.149050676389356e-08,0.00034722223062999547,96.0,1.1112803122159676e-07,0.012404680252075195,0.63398677110672,0.40248796343803406,0.65354323387146,True,True,False,True,1.0,0.0,0.0019310753559693694,0.014559325762093067,success_line,pinned_bend,True,True,True,True,True,True,ccda_state
20,free,hidden_high_friction,000020-6.pkl,000020-3.pkl,0.00040487907244823873,0.00020243953622411937,7.355121450420083e-08,0.005112847313284874,193.0,1.2944520904056844e-06,0.0307309627532959,0.04121524840593338,0.06411520391702652,0.05612826719880104,True,True,True,False,1.0,1.0,0.0019310753559693694,0.009259617887437344,success_line,weak_contact_success,True,True,True,False,False,False,future_not_different
20,hidden_pin,hidden_high_friction,000020-1.pkl,000020-3.pkl,0.00040706442086957395,0.00020353221043478698,2.7797388564114905e-08,0.0052126734517514706,193.0,1.3142675925337244e-06,0.0307309627532959,0.7391024231910706,0.40915653109550476,0.7685142755508423,True,False,True,True,0.0,1.0,0.014559325762093067,0.009259617887437344,pinned_bend,weak_contact_success,True,True,True,True,True,True,ccda_state
21,free,hidden_pin,000021-4.pkl,000021-1.pkl,0.0005207676440477371,0.00026038382202386856,1.4723334521926069e-05,0.0033181423787027597,184.0,8.530960258212872e-07,0.025664448738098145,0.7523934841156006,0.4673348665237427,0.8166738748550415,True,True,False,True,1.0,0.0,0.0035587826278060675,0.014231771230697632,success_line,pinned_bend,True,True,True,True,True,True,ccda_state
21,free,hidden_high_friction,000021-4.pkl,000021-2.pkl,0.0007295401301234961,0.00036477006506174803,2.2066770689924817e-05,0.006359592080116272,184.0,2.3833038085285807e-06,0.044737398624420166,0.01887955702841282,0.019419824704527855,0.03860668931156397,True,True,True,False,1.0,1.0,0.0035587826278060675,0.0037383881863206625,success_line,weak_contact_success,True,True,True,False,False,False,future_not_different
21,hidden_pin,hidden_high_friction,000021-1.pkl,000021-2.pkl,0.0005866577266715467,0.00029332886333577335,2.003351661872554e-05,0.004873046651482582,112.0,2.017879978666315e-06,0.044737398624420166,0.7358791828155518,0.456901878118515,0.7221481800079346,True,False,True,True,0.0,1.0,0.014231771230697632,0.0037383881863206625,pinned_bend,weak_contact_success,True,True,True,True,True,True,ccda_state
22,free,hidden_pin,000022-3.pkl,000022-1.pkl,7.636588998138905e-05,3.818294499069452e-05,5.5432420512343844e-08,0.0013661024859175086,97.0,3.3570697155482776e-07,0.009048104286193848,0.16929274797439575,0.1404508799314499,0.11779127269983292,True,True,False,True,1.0,0.0,0.005057274829596281,0.0108575988560915,success_line,pinned_bend,True,True,True,True,True,True,ccda_state
22,free,hidden_high_friction,000022-3.pkl,000022-3.pkl,0.00033044081646949053,0.00016522040823474526,1.656607245032709e-08,0.004691840149462223,102.0,1.1809858051492483e-06,0.02306002378463745,0.013549651950597763,0.011408112943172455,0.01787596382200718,True,True,True,False,1.0,1.0,0.005057274829596281,0.002100752666592598,success_line,weak_contact_success,True,True,True,False,False,False,future_not_different
22,hidden_pin,hidden_high_friction,000022-1.pkl,000022-3.pkl,0.0002867257280740887,0.00014336286403704435,5.2203111928455266e-08,0.004729817621409893,103.0,1.1314820085317479e-06,0.02306002378463745,0.17588527500629425,0.1403549164533615,0.14405754208564758,True,False,True,True,0.0,1.0,0.0108575988560915,0.002100752666592598,pinned_bend,weak_contact_success,True,True,True,True,True,True,ccda_state
23,free,hidden_pin,000023-8.pkl,000023-1.pkl,3.699351873365231e-05,1.8496759366826154e-05,6.158946931676625e-08,0.00020073784980922937,16.0,1.164354017646474e-07,0.0010575056076049805,0.41799843311309814,0.24301421642303467,0.11830653250217438,True,True,False,True,1.0,0.0,0.0019337604753673077,0.008663859218358994,success_line,pinned_bend,True,True,True,True,True,True,ccda_state
23,free,hidden_high_friction,000023-8.pkl,000023-8.pkl,0.0003120009496342391,0.00015600047481711954,3.963246299108859e-08,0.003018663264811039,101.0,9.238579536940961e-07,0.014310657978057861,0.012451522052288055,0.013477668166160583,0.019118685042485595,True,True,True,False,1.0,1.0,0.0019337604753673077,0.004174015950411558,success_line,weak_contact_success,True,True,True,False,False,False,future_not_different
23,hidden_pin,hidden_high_friction,000023-1.pkl,000023-8.pkl,0.0003141395282000303,0.00015706976410001516,3.278645423264394e-08,0.0030631511472165585,101.0,9.56062535806268e-07,0.014374136924743652,0.41532498598098755,0.23892611265182495,0.16058357059955597,True,False,True,True,0.0,1.0,0.008663859218358994,0.004174015950411558,pinned_bend,weak_contact_success,True,True,True,True,True,True,ccda_state
24,free,hidden_pin,000024-10.pkl,000024-4.pkl,0.00014656658458989114,7.328329229494557e-05,9.620079218656393e-08,0.002570529468357563,171.0,5.530969815481512e-07,0.020130693912506104,0.42565613985061646,0.3077058792114258,0.19099686791014392,True,True,False,True,1.0,0.0,0.002996329218149185,0.01193784549832344,success_line,pinned_bend,True,True,True,True,True,True,ccda_state
24,free,hidden_high_friction,000024-10.pkl,000024-8.pkl,0.00033654269645921886,0.00016827134822960943,1.1659902203926368e-08,0.005373263731598854,149.0,1.3938401934865396e-06,0.025983870029449463,0.02658260241150856,0.025246163830161095,0.018245076498715207,True,True,True,False,1.0,1.0,0.002996329218149185,0.004684294108301401,success_line,weak_contact_success,True,True,True,False,False,False,future_not_different
24,hidden_pin,hidden_high_friction,000024-4.pkl,000024-8.pkl,0.0003894186520483345,0.00019470932602416724,9.579249993518491e-08,0.007412109524011612,171.0,1.7939343024409027e-06,0.025983870029449463,0.4031652808189392,0.29281434416770935,0.234435630380176,True,False,True,True,0.0,1.0,0.01193784549832344,0.004684294108301401,pinned_bend,weak_contact_success,True,True,True,True,True,True,ccda_state
25,free,hidden_pin,000025-8.pkl,000025-2.pkl,8.188501669792458e-05,4.094250834896229e-05,1.0126593708689627e-06,0.0007020399207249284,56.0,2.40402499684933e-07,0.007044553756713867,0.6161476969718933,0.3490699529647827,0.4513437747955322,True,True,False,True,1.0,0.0,0.002605605870485306,0.010592476464807987,success_line,pinned_bend,True,True,True,True,True,True,ccda_state
25,free,hidden_high_friction,000025-8.pkl,000025-5.pkl,0.0003574213769752532,0.0001787106884876266,5.22847335737247e-05,0.0039778645150363445,114.0,1.2383736702759052e-06,0.024017155170440674,0.01612822897732258,0.01511783991008997,0.024076168611645698,True,True,True,False,1.0,1.0,0.002605605870485306,0.004441638942807913,success_line,weak_contact_success,True,True,True,False,False,False,future_not_different
25,hidden_pin,hidden_high_friction,000025-2.pkl,000025-5.pkl,0.00033200811594724655,0.00016600405797362328,5.207384948606615e-05,0.0037749565672129393,114.0,1.205162561745965e-06,0.024017155170440674,0.6164299249649048,0.3542322814464569,0.42349179089069366,True,False,True,True,0.0,1.0,0.010592476464807987,0.004441638942807913,pinned_bend,weak_contact_success,True,True,True,True,True,True,ccda_state
26,free,hidden_pin,000026-6.pkl,000026-1.pkl,5.473298369906843e-05,2.7366491849534214e-05,2.0882737760087354e-07,0.0004937066114507616,65.0,1.2837902829687664e-07,0.007866322994232178,0.664726734161377,0.35698017477989197,0.5106427073478699,True,True,False,True,1.0,0.0,0.0017086274456232786,0.011079777963459492,success_line,pinned_bend,True,True,True,True,True,True,ccda_state
26,free,hidden_high_friction,000026-6.pkl,000026-7.pkl,0.00026604323647916317,0.00013302161823958158,4.0558238238604233e-07,0.0020345051307231188,65.0,7.273423534570611e-07,0.016207575798034668,0.01914830133318901,0.018803782761096954,0.015358048335959515,True,True,True,False,1.0,1.0,0.0017086274456232786,0.0035571069456636906,success_line,weak_contact_success,True,True,True,False,False,False,future_not_different
26,hidden_pin,hidden_high_friction,000026-1.pkl,000026-7.pkl,0.00025703851133584976,0.00012851925566792488,2.2848460550401843e-07,0.0020855034235864878,60.0,7.32168643935438e-07,0.01617950201034546,0.6701174378395081,0.35537955164909363,0.5571572780609131,True,False,True,True,0.0,1.0,0.011079777963459492,0.0035571069456636906,pinned_bend,weak_contact_success,True,True,True,True,True,True,ccda_state
27,free,hidden_pin,000027-10.pkl,000027-1.pkl,7.738571002846584e-05,3.869285501423292e-05,1.4949905385214883e-07,0.000886501744389534,110.0,3.416618028495577e-07,0.022303223609924316,0.29076480865478516,0.23127929866313934,0.2816844582557678,True,True,False,True,1.0,0.0,0.002989567816257477,0.010408049449324608,success_line,pinned_bend,True,True,True,True,True,True,ccda_state
27,free,hidden_high_friction,000027-10.pkl,000027-4.pkl,0.0009603937505744398,0.0004801968752872199,1.514730117035812e-07,0.008974608965218067,118.0,2.2779292976338184e-06,0.021266400814056396,0.014736638404428959,0.01017331425100565,0.03508595563471317,True,True,True,False,1.0,1.0,0.002989567816257477,0.0038353779818862677,success_line,weak_contact_success,True,True,True,False,False,False,future_not_different
27,hidden_pin,hidden_high_friction,000027-1.pkl,000027-4.pkl,0.0009276930359192193,0.00046384651795960963,1.505223535078384e-07,0.009101562201976776,118.0,2.256481593576609e-06,0.024327754974365234,0.2854180335998535,0.22884821891784668,0.3878256678581238,True,False,True,True,0.0,1.0,0.010408049449324608,0.0038353779818862677,pinned_bend,weak_contact_success,True,True,True,True,True,True,ccda_state
