condition,visible_seed,seed_cohort,baseline_selector,selector,initial_fraction,baseline_delta,selector_delta,paired_delta_gain,baseline_final,selector_final,paired_final_gain,baseline_success,selector_success,paired_success_gain,baseline_pull,selector_pull,baseline_future_match,selector_future_match
hidden_high_friction,312002,phase312_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045812336378730834,0.045812336378730834,0.625,0.625
hidden_high_friction,312002,phase312_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045812336378730834,0.09523852320853621,0.625,1.0
hidden_high_friction,312002,phase312_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045812336378730834,0.1769224505405873,0.625,0.125
hidden_high_friction,312002,phase312_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045812336378730834,0.137366090901196,0.625,0.3125
hidden_high_friction,312003,phase312_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07665306457784027,0.07665306457784027,0.625,0.625
hidden_high_friction,312003,phase312_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07665306457784027,0.19417760241776705,0.625,1.0
hidden_high_friction,312003,phase312_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07665306457784027,0.19568648794665933,0.625,0.0
hidden_high_friction,312003,phase312_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07665306457784027,0.13940071896649897,0.625,0.125
hidden_high_friction,312500,phase312b_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07826504518743604,0.07826504518743604,0.8125,0.8125
hidden_high_friction,312500,phase312b_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07826504518743604,0.08600117359310389,0.8125,1.0
hidden_high_friction,312500,phase312b_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07826504518743604,0.1574936406686902,0.8125,0.125
hidden_high_friction,312500,phase312b_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07826504518743604,0.5224358830600977,0.8125,0.0
hidden_high_friction,312501,phase312b_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20327700767666101,0.20327700767666101,0.5625,0.5625
hidden_high_friction,312501,phase312b_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.20327700767666101,0.05258762405719608,0.5625,1.0
