comparison,left_track,right_track,step,feature,feature_family,legal_observation,feature_dim,accuracy,balanced_accuracy,roc_auc,tp,tn,fp,fn,paired_accuracy,paired_positive,paired_negative,paired_ties,paired_margin_mean,paired_margin_median,paired_sign_p,roc_auc_ci_low,roc_auc_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,paired_accuracy_ci_low,paired_accuracy_ci_high
primary_step_5,free_a,hidden_armed,5,model_x_v2_s5,proposed_model_input,True,303,0.5,0.5,0.506134033203125,86,42,86,42,0.6953125,68,18,42,0.0021252250900360117,0.0039215686274509665,5.2936895085725706e-08,0.503936767578125,0.51202392578125,0.5,0.5,0.6328125,0.7578125
primary_step_5,free_a,hidden_armed,5,privileged_model_x_v1_s5,privileged_velocity,False,447,0.86328125,0.86328125,0.93170166015625,111,110,18,17,0.9453125,121,7,0,0.4229854441776711,0.40328131252501,5.890695503260466e-28,0.89996337890625,0.9591064453125,0.8203125,0.90234375,0.90625,0.9765625
primary_step_5,free_a,hidden_armed,5,xy_history_s10,observable_motion,True,144,0.5,0.5,0.506134033203125,86,42,86,42,0.6953125,68,18,42,0.002125225090036014,0.0039215686274509665,5.2936895085725706e-08,0.50396728515625,0.511962890625,0.5,0.5,0.62890625,0.7578125
primary_step_5,free_a,hidden_armed,5,position_proprio_history_s10,observable_motion,True,261,0.5,0.5,0.506134033203125,86,42,86,42,0.6953125,68,18,42,0.0021252250900360117,0.0039215686274509665,5.2936895085725706e-08,0.50390625,0.511962890625,0.5,0.5,0.6328125,0.7578125
primary_step_5,free_a,hidden_armed,5,causal_fd_history_s10,observable_motion,True,405,0.9765625,0.9765625,0.99114990234375,125,125,3,3,0.9921875,127,1,0,0.4980454681872749,0.5077631052420968,7.581938562803754e-37,0.9769271850585938,0.99993896484375,0.95703125,0.9921875,0.9765625,1.0
primary_step_5,free_a,hidden_armed,5,model_x_v2_s10,proposed_model_input,True,303,0.5,0.5,0.506134033203125,86,42,86,42,0.6953125,68,18,42,0.0021252250900360117,0.0039215686274509665,5.2936895085725706e-08,0.503997802734375,0.511810302734375,0.5,0.5,0.6328125,0.7578125
primary_step_5,free_a,hidden_armed,5,privileged_model_x_v1_s10,privileged_velocity,False,447,0.86328125,0.86328125,0.93170166015625,111,110,18,17,0.9453125,121,7,0,0.4229854441776711,0.40328131252501,5.890695503260466e-28,0.90032958984375,0.9595962524414062,0.8203125,0.90234375,0.90625,0.984375
primary_step_5,free_a,hidden_armed,5,model_x_v2_s5_noise_00025m,noisy_visual_proxy,True,303,0.47265625,0.47265625,0.49365234375,59,62,66,69,0.5,64,64,0,-0.007130352140856341,8.003201280519512e-05,1.0,0.458740234375,0.5286270141601562,0.4296875,0.51171875,0.4140625,0.5859375
primary_step_5,free_a,hidden_armed,5,model_x_v2_s5_noise_0005m,noisy_visual_proxy,True,303,0.46484375,0.46484375,0.46392822265625,59,60,68,69,0.46875,60,68,0,-0.030579731892757103,-0.030692276910764316,0.536268714071106,0.4024017333984375,0.5266143798828125,0.41015625,0.51953125,0.3828125,0.5546875
primary_step_5,free_a,hidden_armed,5,model_x_v2_s5_noise_001m,noisy_visual_proxy,True,303,0.49609375,0.49609375,0.51666259765625,61,66,62,67,0.5234375,67,61,0,0.01665041016406562,0.018847539015606207,0.6587012845406399,0.44698944091796877,0.58551025390625,0.4375,0.55859375,0.4375,0.609375
