family,experiment,evaluation,source_id,gate_pass,row_count,z_mse,z_max_abs,ordered_rmse_p95,segment_relative_error_p95,chain_relative_error_p95
diffusion,balanced_frozen_prior,true_condition,2,True,24,1.6086841875237578e-06,0.00841212272644043,0.000260415375684391,0.010683822690915503,0.0013662537788045241
diffusion,balanced_frozen_prior,true_condition,3,True,24,9.565749438606706e-06,0.01923346519470215,0.0008123219702186815,0.022888547078941102,0.005093201741788372
diffusion,balanced_frozen_prior,true_condition,4,True,24,1.4028378286554562e-05,0.052922479808330536,0.0007268768832712983,0.014136229469165549,0.005261226429175972
diffusion,balanced_frozen_prior,true_condition,5,True,24,7.303499269915773e-06,0.01800769567489624,0.0005606174639209115,0.018052521830124218,0.0038581702794230855
diffusion,balanced_frozen_prior,true_condition,6,True,24,4.401052177535124e-06,0.01775270700454712,0.00043934894781244577,0.01150013653430181,0.0027149079242057947
diffusion,balanced_frozen_prior,true_condition,7,True,24,4.336729056315265e-06,0.014615297317504883,0.00033315209476557676,0.020829282019560486,0.0033363658500231877
diffusion,balanced_frozen_prior,true_condition,8,True,24,3.879895532577784e-06,0.015961095690727234,0.0005111343384215793,0.01219770617474625,0.0026524047073790734
diffusion,balanced_frozen_prior,true_condition,9,True,24,1.8447089185177898e-06,0.013274326920509338,0.0002947297239920622,0.013268010009960775,0.0017346688324290807
diffusion,balanced_frozen_prior,true_condition,10,True,24,1.934506014062458e-06,0.007793009281158447,0.0002553883129304221,0.012043783610922312,0.0024225761557340342
diffusion,balanced_frozen_prior,true_condition,11,True,24,2.948354748990426e-06,0.010274544358253479,0.0003336178305888447,0.025473274108273422,0.0018899955232212439
diffusion,balanced_frozen_prior,true_condition,12,True,24,2.1595216891663937e-06,0.008922815322875977,0.0002751019257719595,0.009228564488407955,0.002019754329460743
diffusion,balanced_frozen_prior,true_condition,13,True,24,4.93411882939208e-06,0.011703968048095703,0.0004700650818854929,0.03636940471306827,0.004597987071524593
diffusion,balanced_frozen_prior,true_condition,14,True,24,3.988939847350327e-06,0.013353109359741211,0.0004276533806648649,0.014066512269569354,0.0032044591409955006
diffusion,balanced_frozen_prior,true_condition,15,True,24,3.1061787239368214e-06,0.015696674585342407,0.00024759582686456686,0.012855450413662983,0.0029673313033572865
prior,balanced_frozen_prior,after_warmup,0,False,1,0.0016238945491451543,0.0809054970741272,0.004667291773642425,0.07891343136939018,0.02177521026534455
prior,balanced_frozen_prior,after_warmup,1,False,1,0.00019087442195278296,0.07981720566749573,0.0013330890739751311,0.08394134921180153,0.004166897131432424
prior,balanced_frozen_prior,after_warmup,2,True,1,4.9224932130939894e-05,0.02205657958984375,0.0009312341578207177,0.0307112608157425,0.005490594838826425
prior,balanced_frozen_prior,after_warmup,3,False,1,0.00013197103007417925,0.053948402404785156,0.0009724433600257024,0.056896447635798174,0.014064871592940478
prior,balanced_frozen_prior,after_warmup,4,False,1,0.0006652803168770907,0.052862659096717834,0.0031747518350780926,0.057465141021038474,0.02519843903448625
prior,balanced_frozen_prior,after_warmup,5,False,1,0.00039036280811623837,0.08510732650756836,0.0019650888088074965,0.05765023713815837,0.022672247286675926
prior,balanced_frozen_prior,after_warmup,6,True,1,5.141180991526027e-05,0.030497118830680847,0.0006849722207025083,0.026190060958529316,0.007309003031135385
