selector,uses_condition_label,condition,visible_seed,seed_cohort,episode_idx,step_idx,fraction_before,fraction_after,fraction_delta,done_after,reward,future_std_mean,future_nn_l2,future_nn_mae,future_nearest_condition,future_condition_match,selected_train_index,selected_window_idx,selected_condition,selected_context_l2,selected_proxy_distance,selected_score,action_ood,clip_frac,pull_len,source_pull_len,action_mae_to_source,action_l2_to_source,scope
ddpm_mean,0,free,312002,phase312_seed_block,2,11,0.0,0.0,0.0,0,0.0,0.040027886629104614,0.04299217090010643,0.01936972886323929,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.17733775079250336,0.0,0.02596035785973072,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312002,phase312_seed_block,2,12,0.0,0.0,0.0,0,0.0,0.03947032243013382,0.045774925500154495,0.02420198917388916,hidden_breakaway_pin,0,-1,-1,,nan,nan,nan,0.19525161385536194,0.0,0.04054809361696243,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312002,phase312_seed_block,2,13,0.0,0.0,0.0,0,0.0,0.040085893124341965,0.04529165104031563,0.02401493862271309,hidden_breakaway_pin,0,-1,-1,,nan,nan,nan,0.1622789055109024,0.0,0.030265990644693375,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312002,phase312_seed_block,2,14,0.0,0.0,0.0,0,0.0,0.04060046747326851,0.03947872295975685,0.017680656164884567,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.13149286806583405,0.0,0.027421876788139343,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312002,phase312_seed_block,2,15,0.0,0.0,0.0,0,0.0,0.04034195840358734,0.04602763056755066,0.019880516454577446,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.07787543535232544,0.0,0.020543796941637993,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312003,phase312_seed_block,3,0,0.0,0.0,0.0,0,0.0,0.040091730654239655,0.04508146643638611,0.023556692525744438,hidden_breakaway_pin,0,-1,-1,,nan,nan,nan,0.6651567816734314,0.0,0.4645262658596039,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312003,phase312_seed_block,3,1,0.0,0.0,0.0,0,0.0,0.04026474431157112,0.045418381690979004,0.020780788734555244,free,1,-1,-1,,nan,nan,nan,0.41639432311058044,0.0,0.2534581124782562,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312003,phase312_seed_block,3,2,0.0,0.0,0.0,0,0.0,0.0403766930103302,0.043878283351659775,0.019787916913628578,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.40341222286224365,0.0,0.11222699284553528,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312003,phase312_seed_block,3,3,0.0,0.0,0.0,0,0.0,0.04014226421713829,0.04594133421778679,0.020180433988571167,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.2292986512184143,0.0,0.01342624332755804,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312003,phase312_seed_block,3,4,0.0,0.0,0.0,0,0.0,0.03967989981174469,0.045142244547605515,0.02360519766807556,hidden_breakaway_pin,0,-1,-1,,nan,nan,nan,0.14882540702819824,0.0,0.02366170845925808,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312003,phase312_seed_block,3,5,0.0,0.0,0.0,0,0.0,0.04049621894955635,0.04417361691594124,0.019101399928331375,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.1925780326128006,0.0,0.013439630158245564,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312003,phase312_seed_block,3,6,0.0,0.0,0.0,0,0.0,0.040194980800151825,0.04579220339655876,0.023489156737923622,hidden_breakaway_pin,0,-1,-1,,nan,nan,nan,0.10751917213201523,0.0,0.02490164525806904,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312003,phase312_seed_block,3,7,0.0,0.0,0.0,0,0.0,0.034426115453243256,0.056538403034210205,0.02696670964360237,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.19805505871772766,0.0,0.04142925515770912,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312003,phase312_seed_block,3,8,0.0,0.0,0.0,0,0.0,0.03458883613348007,0.059619706124067307,0.028706833720207214,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.13137079775333405,0.0,0.04035506770014763,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312003,phase312_seed_block,3,9,0.0,0.0,0.0,0,0.0,0.03474707901477814,0.05895845964550972,0.030388804152607918,hidden_breakaway_pin,0,-1,-1,,nan,nan,nan,0.16765514016151428,0.0,0.036695465445518494,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312003,phase312_seed_block,3,10,0.0,0.0,0.0,0,0.0,0.040128499269485474,0.04223332181572914,0.019391557201743126,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.27052783966064453,0.0,0.036000560969114304,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312003,phase312_seed_block,3,11,0.0,0.0,0.0,0,0.0,0.03958873823285103,0.04563112556934357,0.02380817010998726,hidden_breakaway_pin,0,-1,-1,,nan,nan,nan,0.1788429319858551,0.0,0.024688394740223885,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312003,phase312_seed_block,3,12,0.0,0.0,0.0,0,0.0,0.04016038030385971,0.04372876137495041,0.022891266271471977,hidden_breakaway_pin,0,-1,-1,,nan,nan,nan,0.1566971093416214,0.0,0.008872944861650467,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312003,phase312_seed_block,3,13,0.0,0.0,0.0,0,0.0,0.04083705320954323,0.038429852575063705,0.01735600456595421,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.1757296472787857,0.0,0.0034255539067089558,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312003,phase312_seed_block,3,14,0.0,0.0,0.0,0,0.0,0.04034304991364479,0.04437093809247017,0.019455578178167343,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.17262348532676697,0.0,0.011620978824794292,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312003,phase312_seed_block,3,15,0.0,0.0,0.0,0,0.0,0.040451452136039734,0.04514405131340027,0.019800296053290367,hidden_high_friction,0,-1,-1,,nan,nan,nan,0.12316080182790756,0.0,0.00857666227966547,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
ddpm_mean,0,free,312500,phase312b_seed_block,4,0,0.0,0.0,0.0,0,0.0,0.039818670600652695,0.0446319542825222,0.023351874202489853,hidden_breakaway_pin,0,-1,-1,,nan,nan,nan,0.5717630386352539,0.0,0.3245285451412201,nan,nan,nan,phase3_12c_matched_reset_no_phase4_no_cps
